tiempo = 0  ;  avaliable es 16095
tiempo = 3.464s  tamano descargado = 122.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.464s  tamano descargado = 123.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.464s  tamano descargado = 124.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.464s  tamano descargado = 125.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.464s  tamano descargado = 126.71777KB  tama;o del buffer  1.0KB 
tiempo = 3.464s  tamano descargado = 127.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 128.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 129.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 130.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 131.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 132.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 133.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 134.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 135.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 136.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 137.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.017s  tamano descargado = 138.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.018s  tamano descargado = 139.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.018s  tamano descargado = 140.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.018s  tamano descargado = 141.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.018s  tamano descargado = 142.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.018s  tamano descargado = 143.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 144.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 145.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 146.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 147.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 148.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 149.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 150.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 151.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.083s  tamano descargado = 152.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.084s  tamano descargado = 153.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.084s  tamano descargado = 154.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.084s  tamano descargado = 155.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.084s  tamano descargado = 156.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.084s  tamano descargado = 157.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.084s  tamano descargado = 158.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.084s  tamano descargado = 159.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.315s  tamano descargado = 160.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.315s  tamano descargado = 161.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.315s  tamano descargado = 162.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.315s  tamano descargado = 163.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.315s  tamano descargado = 164.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.315s  tamano descargado = 165.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.315s  tamano descargado = 166.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 167.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 168.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 169.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 170.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 171.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 172.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 173.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 174.71777KB  tama;o del buffer  1.0KB 
tiempo = 4.316s  tamano descargado = 175.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 176.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 177.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 178.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 179.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 180.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 181.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 182.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 183.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 184.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 185.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 186.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 187.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 188.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 189.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 190.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.03s  tamano descargado = 191.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 192.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 193.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 194.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 195.71777KB  tama;o del buffer  1.0KB 
tiempo = 5.554s  tamano descargado = 196.71777KB  tama;o del buffer  1.0KB 
